가고일스, gargoyles
에스티이피, STEP
에스티이피에스, STEPS
에스티피, STP
에스펙트, aspect
에스프레소, espresso
에스피, SP
에스피더블유엠, SPWM
에스피디엘, SPDL
에스피디유, SPDU
에스피비시, SPBC
에스피비아이, SPBI
에스피시, SPC
에스피시시, SPCC
에스피아르, SPR
에스피아이, SPI
에스피아이에프에프, SPIFF
에스피에스, SPS
에스피에스에스, SPSS
에스피에이, SPA
에스피에이시, SPAC
에스피에이아르시, SPARC
인터내셔널, International
에스피에프, SPF
에스피엘티, SPLT
에스피엠, SPM
에스피오에프, SPOF
에스피유브이, SPUV
에스피이, SPE
에스피이시, SPEC
에스피티, SPT
에스피티브이, SPTV
에스피피, SPP
에쓰카티논, ethcathinone
더니지, dunnage
본, bourne
본, borne
비닐, vynil
사부, sabu
스파징, sparging
에어, heir
웨이버, waver
일리미네이터, eliminator
태커, tacker
터보, turbo
페리, ferry
페인터, painter
에어러그램, aerogram
에어로, aero
에어로그래프, aerograph
에어로다이내믹, aerodynamic
에어로다인, aerodyne
에어로덕트, aeroduct
에어로베인, aerovane
에어로브레이킹, aerobraking
에어로비, aerobee
에어로빅, aerobics
에어로스탯, aerostat
에어로크, airlock
에어로플로트, aerofloat
에어로핀, aerofin
에어록, airlock
에어리, airy
에어리스, airless
에어리어웨이, areaway
에어리얼, aerial
에어리프터, airlifter
에어메트, AIRMET
에어버스, airbus
에어브러쉬, airbrush
에어브러시, airbrush
에어웨이, airway
에어졸, airsol
에어크래프트, aircraft
에어트럭, airtruck
에어포스, airforce
포칼립스, apocalypse
에어포트, airport
택스, tax
프라이어, fryer
에어플레인, airplane
에오신, eosin
에오카, EOKA
에오히푸스, eohippus
콜론, colon
에이댓, ADAT
에이더블유, AW
에이더블유비, AWB
에이더블유에스, AWS
에이더블유이에스, AWES
에이더블유지, AWG
에이더블유지엔, AWGN
에이디, AD
프롭팬, propfan
에이디더블유, ADW
에이디디, ADD
에이디비, ADB
에이디시, ADC
에이디시시피, ADCCP
에이디시피, ADCP
에이디아르, ADR
에이디아이, ADI
에이디아이비에이, ADIBA
에이디아이에스, ADIS
에이디아이제트, ADIZ
에이디알, ADR
에이디에스아르, ADSR
엔벨롭, envelope
에이디에스엘, ADSL
에이디에이에스, ADAS
에이디에이치, ADH
에이디에이치디, ADHD
에이디에프, ADF
에이디에프에이이디, ADFAED
에이디엘, ADL
에이디엠, ADM
에이디엠디, ADMD
에이디이, ADE
에이디즈, ADIZ
에이디티, ADT
템플릿, template
에이디피, ADP
에이디피에스, ADPS
에이디피이, ADPE
에이밍, aiming
에이바이오스, ABIOS
에이브이, av
에이브이, AV
에이브이시, AVC
에이브이아르, AVR
에이브이아이, AVI
에이브이에프, AVF
에이브이엘, AVL
에이브이엠, AVM
에이브이지, AVG
에이비, AB
에이비디아르, ABDR
에이비비, ABB
에이비스트립스, ABSTRIPS
에이비시, ABC
에이비시피, ABCP
에이비아르, ABR
에이비에스, ABS
에이비에스티비, ABSTB
에이비에스피디유, ABSPDU
에이비에이, ABA
에이비에이터, aviator
에이비엑스, ABX
에이비엠, ABM
에이비오, ABO
에이비유, ABU
에이비이디에이, ABEDA
에이비지, ABG
에이빔, abeam
에이샛, ASAT
에이섹슈얼, asexual
에이시, AC
에이시디, ACD
에이시브이, ACV
에이시비, ACB
에이시시, ACC
에이시아르, ACR
에이시아르에스, ACRS
에이시아이, ACI
에이시아이에이, ACIA
에이시에스, ACS
에이시에스시, ACSC
에이시에스아르, ACSR
에이시에스아이, ACSI
에이시에스알, ACSR
에이시에스에이, ACSA
에이시에스이, ACSE
에이시에스티, ACST
에이시에이아르, ACAR
에이시에이치, ACH
에이시에이티에스, ACATS
에이시에이피, ACAP
에이시에프, ACF
에이시엔, ACN
에이시엘, ACL
에이시엠, ACM
에이시오, ACO
에이시유, ACU
에이시이, ACE
에이시이엘피, ACELP
에이시이피티, ACEPT
에이시케이, ACK
에이시큐, ACQ
에이시티, ACT
에이시티브이, ACTV
에이시티에이치, ACTH
에이시티이, ACTE
에이시티피, ACTP
에이시피, ACP
에이시피아이, ACPI
에이식, ASIC
에이아르, AR
에이아르디에스, ARDS
에이아르브이, ARV
에이아르비엘, ARBL
에이아르시에프, ARCF
에이아르아르, ARR
에이아르에스, ARS
에이아르에이이엔, ARAEN
에이아르에프, ARF
에이아르엠, ARM
에이아르제이, ARJ
에이아르큐, ARQ
에이아르티, ART
에이아르티시시, ARTCC
에이아르피, ARP
아바타, Avatar
에이아르피에이, ARPA
에이아르피유, ARPU
에이아이, AI
챗봇, chatbot
에이아이디, AID
에이아이디에스, AIDS
에이아이디에이, AIDA
에이아이디엠에이, AIDMA
에이아이비디, AIBD
에이아이시피에스, AICPS
에이아이아르, AIR
에이아이아이비, AIIB
에이아이알, AIR
에이아이에스, AIS
에이아이에스에스, AISS
에이아이에이, AIA
에이아이엑스, AIX
에이아이엠, AIM
에이아이오, AIO
에이아이오이시, AIOEC
에이아이케이, AIK
에이아이큐에스, AIQS
에이아이티, AIT
에이알, AR
에이알에스, ARS
에이알피피유, ARPPU
에이에스, AS
에이에스더블유, ASW
에이에스디, ASD
에이에스브이디, ASVD
에이에스시, ASC
에이에스시에스, ASCS
에이에스아르, ASR
에이에스아르피, ASRP
에이에스아이, ASI
에이에스아이시, ASIC
에이에스에스, ASS
에이에스에스아르, ASSR
에이에스에스알, ASSR
에이에스에스엠, ASSM
에이에스에이, ASA
에이에스에프, ASF
에이에스엠, ASM
에이에스엠알, ASMR
에이에스엠이, ASME
에이에스이, ASE
에이에스이엠, ASEM
에이에스케이, ASK
에이에스티에이, ASTA
에이에스티엠, ASTM
에이에스피, ASP
에이에스피티, ASPT
에이에스피피아르, ASPPR
에이에이, AA
에이에이디, AAD
에이에이디티, AADT
에이에이시, AAC
에이에이시에스아르, AACSR
에이에이시엠, AACM
에이에이아르이, AARE
에이에이아르큐, AARQ
에이에이아이, AAI
에이에이에이, AAA
에이에이에이시, AAAC
에이에이에프, AAF
에이에이엠, AAM
에이에이유, AAU
에이에이치, AH
에이에이치디, AHD
에이에이치디에스아르, AHDSR
에이에이치디에스에프아르, AHDSFR
에이에이치유, AHU
에이에이치티, AHT
에이에프, AF
에이에프디, AFD
에이에프디비, AFDB
에이에프비, AFB
에이에프시, AFC
에이에프시아이, AFCI
에이에프시에스, AFCS
에이에프시이에이, AFCEA
에이에프아르시, AFRC
에이에프에스, AFS
에이에프에이, AFA
에이에프에이에스, AFAS
에이에프엘, AFL
에이에프엠, AFM
에이에프오, AFO
에이에프이에스디, AFESD
에이에프지, AFG
에이에프피, AFP
에이에프피케이, AFPK
에이엔디에프, ANDF
에이엔시, ANC
에이엔시오엠, ANCOM
에이엔아이, ANI
에이엔에스아이, ANSI
에이엔에프, ANF
에이엔엔, ANN
에이엔콤, ANCOM
에이엘비엠, ALBM
에이엘시, ALC
에이엘시엘, ALCL
에이엘시엠, ALCM
에이엘엠, ALM
에이엘유, ALU
에이엘티, ALT
에이엠, AM
피엠, PM
에이엠시에이치에이엠, AMCHAM
에이엠아르, AMR
에이엠아르오, AMRO
에이엠아이, AMI
에이엠알오, AMRO
에이엠에스, AMS
에이엠에이, AMA
에이엠에이디엔에스, AMADNS
에이엠에이티피에스, AMATPS
에이엠에프, AMF
에이엠엠, AMM
에이엠유, AMU
에이엠이, AME
에이엠이아이, AMEI
에이엠티, AMT
에이엠티아이, AMTI
에이엠피, AMP
에이오더블유, AOW
에이오디, AOD
에이오브이, AOV
에이오시, AOC
에이오에스, AOS
에이오이, AOE
에이오큐, AOQ
에이오큐시, AOQC
에이오큐엘, AOQL
에이유, AU
에이유브이, AUV
에이유시, AUC
에이유아이, AUI
에이유엠, AUM
에이유피, AUP
에이이, AE
에이이더블유, AEW
에이이디, AED
에이이비에스, AEBS
에이이시, AEC
에이이아이, AEI
에이이에스, AES
이비유, EBU
에이이에스에이, AESA
에이이엘, AEL
에이이엠, AEM
에이이오, AEO
에이이피, AEP
에이제이에이엑스, AJAX
에이젠더, agender
에이즈, AIDS
에이지, AG
에이지드, aged
에이지리스, ageless
에이지브이, AGV
에이지브이에스, AGVS
에이지시, AGC
에이지아이엘, AGIL
에이지에프, AGF
에이지엠, AGM
에이지티, AGT
에이지피, AGP
플레이스, place
에이치더블유, HW
에이치더블유아이에프, HWIF
에이치더블유엘, HWL
에이치더블유오에스티, HWOST
에이치더블유오엔티, HWONT
에이치더블유오엠티, HWOMT
에이치디, HD
에이치디디, HDD
에이치디브이에스, HDVS
에이치디비엠에스, HDBMS
에이치디시디, HDCD
에이치디아르, HDR
에이치디에스에스, HDSS
에이치디에스엘, HDSL
에이치디에이, HDA
에이치디에이엠, HDAM
에이치디엑스, HDX
에이치디엘, HDL
에이치디엘시, HDLC
에이치디엠아이, HDMI
에이치디피시브이디, HDPCVD
에이치브이, HV
에이치브이디시, HVDC
에이치브이에이시, HVAC
에이치비, HB
에이치비디, HBD
에이치비에스아이, HBSI
에이치비오, HBO
에이치시비, HCB
에이치시아이, HCI
에이치시에프시, HCFC
에이치시엠, HCM
에이치시유, HCU
에이치시피, HCP
에이치아르, HR
에이치아르브이, HRV
에이치아르아르오아이, HRROI
에이치아르에스, HRS
에이치아르에스지, HRSG
에이치아르에이, HRA
에이치아르엔, HRN
에이치아르엠, HRM
에이치아이더블유에이에스, HIWAS
에이치아이디, HID
에이치아이디에이엠, HIDAM
에이치아이브이, HIV
에이치아이에스에이엠, HISAM
에이치아이엘아이, HILI
에이치아이이, HIE
에이치아이피, HIP
에이치알, HR
에이치에스, HS
에이치에스더블유, HSW
에이치에스디피에이, HSDPA
에이치에스비, HSB
에이치에스아르, HSR
에이치에스아이, HSI
에이치에스에스아이, HSSI
에이치에스에스티, HSST
에이치에스에프, HSF
에이치에스에프오, HSFO
에이치에스엘엔, HSLN
에이치에스엘피, HSLP
에이치에스엠, HSM
에이치에스유, HSU
에이치에스케이, HSK
에이치에스티, HST
에이치에스티아르, HSTR
에이치에스피, HSP
에이치에이, HA
에이치에이시시피, HACCP
에이치에이시엠피, HACMP
에이치에이아이, HAI
에이치에이알에프케이오, HARFKO
에이치에이엘오, HALO
에이치에이엠아르, HAMR
에이치에이제트, HAZ
에이치에이치더블유엘, HHWL
에이치에이치아이, HHI
에이치에이티, HAT
에이치에이피에스, HAPS
에이치에프, HF
에이치에프시, HFC
에이치에프아르, HFR
에이치에프아이, HFI
에이치에프에스, HFS
에이치에프에스티벌, HFStival
에이치에프유, HFU
에이치엔더블유아이, HNWI
에이치엔에스, HNS
에이치엘아이, HLI
에이치엘에스, HLS
에이치엘에스시, HLSC
에이치엠디, HMD
에이치엠디에스, HMDS
에이치엠아이, HMI
에이치엠에스, HMS
에이치엠에스엘, HMSL
에이치엠에이, HMA
에이치엠피, HMP
에이치오엘디아르에스, HOLDRs
에이치오엠오, HOMO
에이치오유, HOU
에이치오지이, HOGE
에이치오큐, HOQ
에이치유디, HUD
에이치유아르, HUR
에이치유지, HUG
에이치이, HE
에이치이브이시, HEVC
에이치이시엠, HECM
에이치이에스, HES
에이치이에이, HEA
에이치이엠에스, HEMS
에이치이엠티, HEMT
에이치이피, HEP
에이치제이, HJ
에이치지, HG
에이치지시, HGC
에이치지엘, HGL
에이치티, HT
에이치티아르비, HTRB
에이치티에스, HTS
에이치티에이, HTA
에이치티엘, HTL
에이치티엠엘, HTML
티아이엠이, TIME
에이치티오, HTO
에이치티티피, HTTP
에이치티티피에스, HTTPS
에이치피, HP
아이비, IB
에이치피시, HPC
에이치피시시아이, HPCCI
에이치피아르, HPR
에이치피에이, HPA
에이치피에프, HPF
에이치피에프에스, HPFS
에이치피지엘, HPGL
에이케이, AK
에이케이에이, aka
에이코사노이드, eicosanoid
에이큐, AQ
에이큐엘, AQL
퍼프, perf
피에스케이, PSK
에이티, AT
에이티더블유, atw
에이티디티, ATDT
에이티디피, ATDP
에이티브이, ATV
에이티비, ATB
에이티스, eighth
에이티시, ATC
에이티시아르비에스, ATCRBS
에이티아르, ATR
에이티아르케이, ATRK
에이티아이, ATI
에이티아이에스, ATIS
에이티에스, ATS
에이티에스시, ATSC
에이티에이, ATA
에이티에이피아이, ATAPI
에이티에프, ATF
에이티엑스, ATX
에이티엔, ATN
에이티엔지, ATNG
에이티엠에스, ATMS
에이티엠엠, ATMM
에이티오, ATO
에이티와이, ATY
에이티이, ATE
에이티티시, ATTC
에이티피, ATP
에이티피아제, ATPase
에이티피에이스, ATPase
에이펙, APEC
에이펙스, apex
에이피, AP
에이피닉, APNIC
에이피디, APD
에이피디유, APDU
에이피브이, APV
에이피비, APB
에이피시, APC
에이피아르, APR
에이피아이, API
에이피에스, APS
에이피에스에스, APSS
에이피에이아르, APAR
에이피엔, APN
에이피엘, APL
에이피엠, APM
에이피엠에스, APMS
에이피오, APO
에이피유, APU
에이피케이, APK
에이피티, APT
에이피티에스, APTS
에이피피시, APPC
에인션트, ancient
오버스커트, overskirt
에인절스, angels
에인절피시, angelfish
에일러론, aileron
에잇, eight
에제티미베, ezetimibe
에즐로피탄트, ezlopitant
오, o
매틱, matic
쿠션, cution
에지케이터, edgecator
에치, etch
에치언트, etchant
에치칼, ethical
에카, eka
마니악, maniac
인포, info
캔슬러, canceller
에코, Eco
플라자, plaza
힐링, healing
에코나졸, econazole
에코넷, econet
에코레일, Ecorail
프로젝트, Project
에코매지네이션, ecomagination
보보스, bobos
에코케이션, ecocation
에코택시스, ecotaxis
에코테리언, ecotarian
에코톤, ecotone
에코투어리즘, ecotourism
에코티오페이트, echothiophate
에코페미니즘, ecofeminism
에코폴리스, Ecopolis
에코플레이션, ecoflation
에코플렉스, echoplex
에콜로지컬, ecological
에콜로직, ecologic
에콜로케이션, echolocation
에쿠우스, Equus
에쿼린, aequorin
에퀘스트리언, equestrian
에큐, ECU
에큐메노폴리스, ecumenopolis
에크고닌, ecgonine
에크디스테로이드, ecdysteroid
에크린, eccrine
에클레시아, ecclesia
에클레틱, eclectic
에클로그, eclogue
에클로자이트, eclogite
에클립스, eclipse
에클립싱, eclipsing
에키네논, echinenone
에키노마이신, echinomycin
에키노크롬, echinochrome
에키노플루테우스, echinopluteus
에키누스, echinus
에키드나아제, echidnase
에키드닌, echidnin
에키미딘, echimidine
에타나우틴, etanautine
에타미반, etamivan
에타민, etamine
에타인, ethyne
에타조신, etazocine
에타졸레이트, etazolate
에타크리딘, ethacridine
에탄, ethane
에탄알, ethanal
에탄올, ethanol
에탄올아민, ethanolamine
에탈로바르비탈, ethallobarbital
에탈론, etalon
에탐부톨, ethambutol
에터니트, eternit
에테인, ethane
에테폰, ethephon
에텐, ethene
에텐자미드, ethenzamid
에토니타젠, etonitazene
에토돌락, etodolac
에토드록시진, etodroxizine
에토리콕시브, etoricoxib
에토미데이트, etomidate
에토석시미드, ethosuximide
에토토인, ethotoin
에토페나메이트, etofenamate
에토페리돈, etoperidone
에토포시드, etoposide
에토프로포스, ethoprophos
에토피브레이트, etofibrate
에토헵타진, ethoheptazine
에톡세리딘, etoxeridine
에톡시, ethoxy
에톡시퀸, ethoxyquin
에톨핀, etorphine
에티노다이올, ethynodiol
에티노디올, ethynodiol
에티도카인, etidocaine
에티드로네이트, etidronate
에티메마진, etymemazine
에티벤자트로핀, etybenzatropine
에티오펜캅, ethiofencarb
에티오플라스트, etioplast
에티오피안, Ethiopian
에티온, ethion
에티졸람, etizolam
에틱, etic
에틴, ethyne
메르캅탄, mercaptan
셀루로오스, cellulose
에틸노르에피네프린, ethylnorepinephrine
에틸레보도파, etilevodopa
에틸렌다이아민, ethylendiamine
에틸렌디아민, ethylendiamine
에틸몰핀, ethylmorphine
에틸벤즈트로핀, ethylbenztropine
비스코움아세테이트, biscoumacetate
에틸아민, ethylamine
에틸아세틸렌, ethylacetylene
에틸페놀, ethylphenol
에틸프로피온, ethylpropion
에파비렌즈, efavirenz
에패노도스, epanodos
에페드론, ephedrone
에페드린, ephedrine
에페리손, eperisone
에페미니즘, effeminism
에포니디핀, efonidipine
에포에틴, epoetin
에포트리스, effortless
에포프로스테놀, epoprostenol
에폭시, epoxy
에폴렛, epaulet
에풀리스, epulis
산탈렌, santalene
싱크, cinq
에프, f
에프더블유, FW
에프더블유시, FWC
에프더블유에이, FWA
에프더블유엘, FWL
에프디, FD
에프디더블유티, FDWT
에프디디, FDD
에프디디아이, FDDI
에프디시, FDC
에프디시티, FDCT
에프디아이, FDI
에프디아이시, FDIC
에프디아이에스케이, fdisk
에프디에스엘, FDSL
에프디에이, FDA
에프디에이치디, FDHD
에프디엑스, FDX
에프디엠, FDM
에프디엠에이, FDMA
에프디티, FDT
에프라지논, eprazinone
에프램, FRAM
에프브이시, FVC
에프비, FB
에프비아이, FBI
에프비에스, FBS
에프비에이, FBA
에프비엠, FBM
에프비지, FBG
에프비티, FBT
에프시, FC
에프시비, FCB
에프시시, FCC
에프시아이, FCI
에프시에스, FCS
에프시에이, FCA
에프시에이더블유, FCAW
에프시에이치, FCH
에프시에프, FCF
에프시에프에스, FCFS
에프시엘, FCL
카르고, cargo
에프시엠, FCM
에프시이브이, FCEV
에프시피, FCP
에프아르비, FRB
에프아르시, FRC
에프아르시디, FRCD
에프아르에스, FRS
에프아르에이, FRA
에프아르엔, FRN
에프아르엠, FRM
에프아르티유, FRTU
에프아르피, FRP
에프아이, FI
에프아이더블유, FIW
에프아이디오, FIDO
에프아이시비, FICB
에프아이아르, FIR
에프아이아르에스티, FIRST
에프아이알, FIR
에프아이에스, FIS
에프아이에스유, FISU
에프아이에스피, FISP
에프아이에이, FIA
에프아이에프에이, FIFA
에프아이에프오, FIFO
엘아이에프오, LIFO
에프아이엘이, FILE
에프아이오, FIO
에프아이이제이, FIEJ
에프아이지에스, FIGS
에프아이티, FIT
에프아이티에이에스, FITAS
에프아이피, FIP
에프알비, FRB
에프알에스, FRS
에프알피, FRP
에프에스, FS
에프에스디, FSD
에프에스브이, FSV
에프에스시, FSC
에프에스에스, FSS
에프에스에이, FSA
에프에스에이치, FSH
에프에스엘, FSL
에프에스엘아이시, FSLIC
에프에스엘엠, FSLM
에프에스엠, FSM
에프에스엠엘, FSML
에프에스오, FSO
에프에스유, FSU
에프에스케이, FSK
에프에스피, FSP
에프에이, FA
에프에이더블유티, FAWT
에프에이디유, FADU
에프에이시시에이치, FACCH
에프에이아르, FAR
에프에이아이, FAI
에프에이에스, FAS
에프에이에스비, FASB
에프에이에스시, FASC
에프에이오, FAO
에프에이이, FAE
에프에이치더블유, FHW
에프에이치디, FHD
에프에이치에이, FHA
에프에이치엘비비, FHLBB
에프에이치엘엠시, FHLMC
에프에이케이, FAK
에프에이큐, FAQ
에프에이티, FAT
에프에이티시에이, FATCA
에프에이티에프, FATF
에프에프, FF
엠펙, MPEG
에프에프브이디, FFVD
에프에프에이, FFA
에프엔디, FND
에프엔시, FNC
에프엔엠에이, FNMA
에프엘, FL
에프엘시, FLC
에프엘시디, FLCD
에프엘시엠, FLCM
에프엘아이피, FLIP
에프엘에프, FLF
에프엘오피에스, FLOPS
에프엘피에이, FLPA
에프엠, FM
사이크로트론, cyclotron
에프엠디, FMD
에프엠시, FMC
에프엠시엠, FMCM
에프엠아르, FMR
에프엠아이, FMI
엔에이에스디에이, NASDA
에프엠에스, FMS
에프엠엠, FMM
에프엠오, FMO
에프엠오엘, FMOL
에프엠이에이, FMEA
에프오, FO
에프오디, FOD
에프오비, FOB
에프오비에스, FOBS
에프오시, FOC
에프오아르, FOR
에프오아르엠에이시, FORMAC
에프오아이아르엘, FOIRL
에프오알, FOR
에프오에이, FOA
에프오에이치, FOH
에프오에프, FOF
에프오엑스, FOX
에프오엘, FOL
에프오엠, FOM
에프오엠시, FOMC
에프오케이, FOK
에프오티에스, FOTS
에프오피, FOP
에프와이, FY
에프와이아이, FYI
에프유오, FUO
에프이, FE
에프이디아이, FEDI
에프이시, FEC
에프이에이, FEA
에프이에이에프, FEAF
에프이엘, FEL
에프이엠에스, FEMS
에프이오지에이, FEOGA
에프이티, FET
에프이피, FEP
에프이피오엘, FEPOL
에프타, EFTA
에프티시, FTC
에프티에스이, FTSE
인덱스, Index
에프티에이에이, FTAA
에프티에이엠, FTAM
레짐, regime
에프티오, FTO
에프티이, FTE
에프티피, FTP
에프피, FP
에프피디, FPD
에프피브이, FPV
에프피시비, FPCB
에프피아이, FPI
에프피에스, FPS
에프피에스오, FPSO
에프피에이, FPA
에프피엘디, FPLD
에프피엘에스, FPLS
에프피엘에이, FPLA
에프피엠, FPM
에프피엠에이, FPMA
에프피엠엘, FPML
에프피오, FPO
에프피유, FPU
에프피지에이, FPGA
에프피피, FPP
에프피피오, FPPO
에피, Epi
에피그램, epigram
에피네프린, epinephrine
에피데이비트, affidavit
에피루비신, epirubicin
에피머, epimer
에피머라아제, epimerase
에피머리제이션, epimerization
에피사이클로이드, epicycloid
에피소드, episode
에피솜, episome
에피슬, epistle
에피알로프레그나놀론, epiallopregnanolone
에피제노타입, epigenotype
에피좀, episome
에피카테킨, epicatechin
에피클로로히드린, epichlorohydrin
에피태프, epitaph
에피택시, epitaxy
에피택시얼, epitaxial
에피토프, epitope
에피포라, epiphora
에필로그, epilogue
엑고닌, ecgonine
엑다이손, ecdysone
엑디손, ecdysone
엑사미터, exameter
엑사바이트, exabyte
엑사이트론, excitron
엑서지, exergy
엑설런트, excellent
엑세스, access
엑센, exsaine
엑소게노트, exogenote
엑소노메트릭, axonometric
엑소뉴클레아제, exonuclease
엑소도스, exodos
엑소미스, exomis
엑소시토시스, exocytosis
엑소펩티다아제, exopeptidase
엑소펩티다제, exopeptidase
엑소폴리갈락투로나아제, exopolygalactronase
엑손, exon
윈도, windows
컨소시엄, consortium
퍼센트, percent
엑스노어, EXNOR
엑스더블유, XW
엑스디, XD
엑스디아이에스, XDIS
엑스디에스엘, xDSL
고니어미터, goniometer
엑스베이스, Xbase
엑스비아르엘, XBRL
엑스시컨트, exsecant
엑스씨컨트, exsecant
엑스아르티, XRT
엑스아이디, XID
엑스알, XR
엑스에스, XS
엑스에스에스, XSS
엑스에스엘, XSL
엑스에이, XA
엑스엑스엑스, XXX
엑스엘아르, XLR
엑스엠에스, XMS
엑스엠에프, XMF
엑스오, XO
엑스오어, EXOR
엑스와이, XY
와이, Y
엑스유엘, XUL
엑스제이에이시케이, XJACK
엑스지에이, XGA
엑스커베이터, excavator
엑스코시컨트, excosecant
엑스코씨컨트, excosecant
크로마틴, chromatin
엑스클루시브, exclusive
엑스터널, external
엑스터시, ecstasy
엑스턴, extern
엑스트라, extra
피리어드, period
엑스트라넷, extranet
엑스트라배간자, extravaganza
엑스트라퓨너티브, extrapunitive
비헤이뷰어, behavior
엑스트랙트, extract
엑스티아이, XTI
엑스퍼트, expert
엑스포메이션, exformation
엑스플로이테이션, exploitation
엑스피다이트, expedite
엑스피엘, XPL
엑스피티, XPT
엑시노, axino
엑시머, excimer
엑시온, axion
엑시큐션, execution
엑시큐트, execute
엑시톤, exciton
엑저비션, exhibition
엑조티시즘, exoticism
엑츄에이터, actuator
엑토고니, ectogony
엑토플라스트, ectoplast
엑토플라즘, ectoplasm
엑토플래스트, ectoplast
엑티브, active
엑티오닌, ectyonin
엔, en
엔, n
엔그램, engram
엔더블유아르, NWR
엔데믹, endemic
엔도게노트, endogenote
엔도고니듐, endogonidium
엔도뉴크레아제, endonuclease
엔도뉴클레아제, endonuclease
엔도르핀, endorphin
엔도몰핀, endomorphin
엔도믹시스, endomixis
엔도솜, endosome
엔도술판, endosulfan
엔도시토시스, endocytosis
엔도좀, endosome
엔도지노트, endogenote
엔도탈, endothal
엔도텔린, endothelin
엔도톡신, endotoxin
엔도펩티다아제, endopeptidase
엔도펩티데이즈, endopeptidases
엔돌리신, endolysin
엔돌핀, endorphin
엔듀로, enduro
엔듀어런스, endurance
엔드랄라진, endralazine
엔드리스, endless
엔드린, endrin
엔디, ND
엔디브, endive
엔디비, NDB
엔디비엠에스, NDBMS
엔디시, NDC
엔디아르, NDR
엔디아이, NDI
엔디아이에스, NDIS
엔디에프, NDF
엔디엘, NDL
엔디엠피, NDMP
엔디피, NDP
엔디피이, NDPE
크레딧, credit
엔모스, NMOS
엔벌로프, envelope
엔벨로프, envelope
팔로어, follower
엔벨롭먼트, envelopment
엔브이램, NVRAM
엔브이아르, NVR
엔브이에이치, NVH
엔브이오시시, NVOCC
엔브이오시티오, NVOCTO
엔브이지, NVG
엔비, NB
엔비시아이, NBCI
엔비아르, NBR
엔비알, NBR
엔솔러지, anthology
엔시, NC
엔시더블유, NCW
엔시디, NCD
엔시디에스, NCDS
엔시시, NCC
엔시에스아이, NCSI
엔시엔디, NCND
엔시엔에이, NCNA
엔시엠, NCM
엔시엠, nCm
엔시오, NCO
엔시유, NCU
엔시이에스, NCES
엔시쿨린, ensaculin
엔시피, NCP
엔실리지, ensilage
엔아르, NR
엔아르디, NRD
엔아르디오, NRDO
엔아르시, NRC
엔아르아르, NRR
엔아르에이, NRA
엔아르제트, NRZ
엔아르제트엠, NRZM
엔아르티, NRT
엔아르피엔, NRPN
엔아이, NI
엔아이디, NID
엔아이디엘, NIDL
엔아이시, NIC
엔아이시에스, NICS
엔아이아르, NIR
엔아이아르에이, NIRA
엔아이알에이, NIRA
엔아이에스, NIS
엔아이에스티, NIST
엔아이에이, NIA
엔아이에이치, NIH
엔아이에프, NIF
엔아이에프에스, NIFs
엔아이엠, NIM
엔아이엠에이치, NIMH
엔아이엠이, NIME
엔아이엠티오, NIMTO
엔아이이, NIE
엔아이이오, NIEO
엔아이티피, NITP
엔아이피, NIP
엔아이피엠, NIPM
엔알에이, NRA
엔에스, NS
엔에스디유, NSDU
엔에스시, NSC
엔에스시시, NSCC
엔에스아이, NSI
엔에스에스, NSS
엔에스에이, NSA
엔에스에이피, NSAP
엔에스에이피아이, NSAPI
엔에스에프, NSF
엔에스에프아르, NSFR
엔에스엔, NSN
엔에스엠엠, NSMM
엔에스티엔, NSTN
엔에스피, NSP
엔에이, NA
엔에이디, NAD
엔에이디피, NADP
엔에이브이, NAV
엔에이비, NAB
엔에이시, NAC
엔에이시에이, NACA
엔에이아르에이에스, NARAS
엔에이아이, NAI
엔에이에스티아르에이엔, NASTRAN
엔에이에이, NAA
엔에이에이치, NAH
엔에이에프티에이, NAFTA
엔에이엔, NAN
엔에이엔오지, NANOG
엔에이엔피, NANP
엔에이엠피에스, NAMPS
엔에이유, NAU
엔에이치더블유엘, NHWL
엔에이치케이, NHK
엔에이케이, NAK
엔에이티, NAT
엔에이티엠, NATM
엔에이피, NAP
엔에이피에스, NAPS
에이피에스케이, APSK
엔에이피엠, NAPM
엔에프비, NFB
엔에프씨, NFC
엔에프에스, NFS
엔에프에이, NFA
엔에프티, NFT
엔엔, NN
엔엔더블유, NNW
엔엔비, NNB
엔엔아르피, NNRP
엔엔아이, NNI
엔엔에스에스, NNSS
엔엔피, NNP
엔엘아르에이, NLRA
엔엘에스피, NLSP
엔엘엘, NLL
엔엘이, NLE
엔엘큐, NLQ
엔엘피, NLP
엔엠아르, NMR
엔엠아이, NMI
엔엠알, NMR
엔엠에스, NMS
엔엠에프, NMF
엔엠이에이, NMEA
엔오, NO
엔오디, NOD
엔오시, NOC
엔오아르이시, NOREC
엔오에스, NOS
엔오에스에이치오, NOSHO
엔오에이치디, NOHD
엔오에이치에이, NOHA
엔오엠, NOM
엔오티오시, NOTOC
엔오피, NOP
엔와이에스이, NYSE
엔와이에프이, NYFE
엔유시에스, NUCS
엔유아르비에스, NURBS
엔유아이, NUI
엔유에스, NUS
엔유티, NUT
엔이, NE
엔이디, NED
엔이브이, NEV
엔이시, NEC
엔이시시, NECC
엔이시에스, NECS
엔이아이에스, NEIS
엔이에스에스아이이, NESSIE
엔이엠에스, NEMS
엔이엠피, NEMP
엔젤스, angels
엔지, NG
엔지엘, NGL
